Product ID,Price,Product Availability,Product Condition,Price Currency,Is Sale,Merchant,Shipping,Brand,Manufacturer,Primary Categories
AVphzgbJLJeJML43fA0o,104.99,Yes,New,USD,False,Bestbuy.com,,Sanus,,Electronics
AVpgMuGwLJeJML43KY_c,64.99,In Stock,New,USD,True,Walmart.com,Expedited,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,69.0,In Stock,New,USD,False,Walmart.com,Expedited,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,69.99,Yes,New,USD,False,Bestbuy.com,,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,66.99,Yes,New,USD,False,Bestbuy.com,,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,66.0,In Stock,New,USD,False,Walmart.com,Expedited,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,74.99,In Stock,New,USD,False,California Electronics,Value,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,65.99,Yes,New,USD,False,Bestbuy.com,,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,69.99,In Stock,New,USD,False,Walmart.com,Expedited,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,64.0,In Stock,New,USD,True,Walmart.com,Standard,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,69.99,TRUE,new,USD,False,Bestbuy.com,,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,64.99,In Stock,New,USD,False,Walmart.com,Expedited,Boytone,Boytone,Electronics
AVpgMuGwLJeJML43KY_c,64.99,Yes,New,USD,False,Bestbuy.com,,Boytone,Boytone,Electronics
AVpe9FXeLJeJML43zHrq,23.99,TRUE,new,USD,False,Bestbuy.com,,DENAQ,Dantona,Electronics
AVpe9FXeLJeJML43zHrq,31.99,TRUE,new,USD,False,Wayfair - Walmart.com,,DENAQ,Dantona,Electronics
AVpe9FXeLJeJML43zHrq,20.99,Yes,New,USD,True,Bestbuy.com,Free Shipping,DENAQ,Dantona,Electronics
AVpe9FXeLJeJML43zHrq,34.99,TRUE,new,USD,False,Wayfair - Walmart.com,,DENAQ,Dantona,Electronics
